year,election_type,ballot_type,eligible_voters,votes_cast,turnout_pct,suspect,suspect_reason,source_pdf
2019-20,UK national,FE,29564,2155,7.3,False,,data/raw/2019-20/pdfs/Scrutineer_report_FE.pdf
2019-20,UK national,HE,84922,10934,12.9,False,,data/raw/2019-20/pdfs/scrutineer_report_HE.pdf
2019-20,UK national,national,121648,14135,11.6,False,,data/raw/2019-20/pdfs/Scrutineer_report_national_seats.pdf
2020-21,UK national,FE,30316,2109,7.0,False,,data/raw/2020-21/pdfs/Scrutineer_report_FE.pdf
2020-21,UK national,HE,85686,8482,9.9,False,,data/raw/2020-21/pdfs/Scrutineer_report_HE1.pdf
2020-21,UK national,national,122830,11485,9.4,False,,data/raw/2020-21/pdfs/Scrutineer_report_national.pdf
2021,casual vacancy,FE,29390,1927,6.6,True,"election_type is 'casual vacancy', not a main annual ballot",data/raw/2021_cv/pdfs/Scrutineer_report_CV_FE_UKelected2021.pdf
2023,UK national,FE,27830,1572,5.6,False,,data/raw/2023/pdfs/SR_FE_seats.pdf
2023,UK national,HE,85021,10465,12.3,False,,data/raw/2023/pdfs/SR_HE_seats.pdf
2023,UK national,national,119819,12830,10.7,False,,data/raw/2023/pdfs/SR_national_seats.pdf
2023-24,UK national,FE,27007,2280,8.4,False,,data/raw/2023-24/pdfs/UCU_2024_FE_elections_report.pdf
2023-24,UK national,HE,80829,14015,17.3,False,,data/raw/2023-24/pdfs/UCU_2024_HE_elections_report.pdf
2023-24,UK national,national,114310,17279,15.1,False,,data/raw/2023-24/pdfs/U0150_1_010324_ROV_UCU_General_Secretary_2024.pdf
2024-25,UK national,FE,26085,1404,5.4,False,,data/raw/2024-25/pdfs/V0033_1_030325_ROV_UCU_Trustee__Officer_and_NEC_Elections_2025_-_ROV_3_-_FE.pdf
2024-25,UK national,HE,80079,7401,9.2,False,,data/raw/2024-25/pdfs/V0033_1_030325_ROV_UCU_Trustee__Officer_and_NEC_Elections_2025_-_ROV_2_-_HE.pdf
2024-25,UK national,national,112279,9553,8.5,False,,data/raw/2024-25/pdfs/V0033_1_030325_ROV_UCU_Trustee__Officer_and_NEC_Elections_2025_-_ROV_1.pdf
2025,casual vacancy,national,81215,9449,11.6,True,"election_type is 'casual vacancy', not a main annual ballot",data/raw/2025_cv/pdfs/Result_sheet_-_2025_casual_vacancies.pdf
2025-26,UK national,FE,26710,1575,5.9,False,,data/raw/2025-26/pdfs/Further_education_seats.pdf
2025-26,UK national,HE,79641,7325,9.2,False,,data/raw/2025-26/pdfs/Higher_education_seats.pdf
2025-26,UK national,national,112834,9644,8.5,False,,data/raw/2025-26/pdfs/National_seats.pdf
