contest_id,year,election_type,contest_name_raw,contest_name,position,date,seats,valid_votes,invalid_votes,quota,election_rules,has_stv_rounds,source,source_pdf
2012|UK national|HE UK-Elected NEC,2012,UK national,HE UK-Elected NEC,HE UK-Elected NEC,HE UK-Elected NEC,01/03/2012,8,8439,1201,937.67,Custom,True,pdf,data/raw/2012/pdfs/Count_HE_UK_elected.pdf
2012|UK national|Wales VP,2012,UK national,Wales VP,Wales VP,Wales VP,01/03/2012,1,509,26,= 254.50,ERS97,True,pdf,data/raw/2012/pdfs/Count_HE_Wales.pdf
2012|UK national|Representatives of Women in HE,2012,UK national,Representatives of Women in HE,Representatives of Women in HE,Representatives of Women in HE,01/03/2012,3,12116,2929,= 3029.00,ERS97,True,pdf,data/raw/2012/pdfs/Count_HE_womens_reps.pdf
2012|UK national|Trustees,2012,UK national,Trustees,Trustees,Trustees,01/03/2012,3,13058,1987,= 3264.50 Surplus of Neil Macfarlane,ERS97,True,pdf,data/raw/2012/pdfs/Count_Trustees.pdf
2012|UK national|Vice,2012,UK national,Vice,Vice,Vice,01/03/2012,1,12605,2440,= 6302.50,ERS97,True,pdf,data/raw/2012/pdfs/Count_VP.pdf
2013|UK national|Further education members – Midlands,2013,UK national,Further education members – Midlands,Further education members – Midlands,Further education members – Midlands,04/03/2013,2,599,21,199.67,ERS97,True,pdf,data/raw/2013/pdfs/FE_Midlands_count.pdf
2013|UK national|Further education members – North West,2013,UK national,Further education members – North West,Further education members – North West,Further education members – North West,04/03/2013,2,393,43,131,ERS97,True,pdf,data/raw/2013/pdfs/FE_North_West_count.pdf
2013|UK national|UK Further Education NEC Members,2013,UK national,UK Further Education NEC Members,UK Further Education NEC Members,UK Further Education NEC Members,04/03/2013,5,3054,198,509,Custom,True,pdf,data/raw/2013/pdfs/FE_UK_count.pdf
2013|UK national|Higher education members - Midlands,2013,UK national,Higher education members - Midlands,Higher education members - Midlands,Higher education members - Midlands,04/03/2013,2,869,61,289.67,ERS97,True,pdf,data/raw/2013/pdfs/HE_Midlands_count.pdf
2013|UK national|Higher education members – North West,2013,UK national,Higher education members – North West,Higher education members – North West,Higher education members – North West,04/03/2013,2,817,40,272.34,ERS97,True,pdf,data/raw/2013/pdfs/HE_North_West_count.pdf
2013|UK national|Higher education members - South,2013,UK national,Higher education members - South,Higher education members - South,Higher education members - South,04/03/2013,3,1635,77,408.75,ERS97,True,pdf,data/raw/2013/pdfs/HE_South_count.pdf
2013|UK national|UK Higher Education Members,2013,UK national,UK Higher Education Members,UK Higher Education Members,UK Higher Education Members,04/03/2013,8,7400,504,822.23,ERS97,True,pdf,data/raw/2013/pdfs/HE_UK_count.pdf
2013|UK national|Vice president from the higher education sector,2013,UK national,Vice president from the higher education sector,Vice president from the higher education sector,Vice president from the higher education sector,04/03/2013,1,11711,846,5855.5,ERS97,True,pdf,data/raw/2013/pdfs/HE_Vice_President_count.pdf
2013|UK national|Honorary Treasurer,2013,UK national,Honorary Treasurer,Honorary Treasurer,Honorary Treasurer,04/03/2013,1,11668,889,5834,ERS97,True,pdf,data/raw/2013/pdfs/Honorary_Treasurer_count.pdf
2013|UK national|Representative of LGBT members,2013,UK national,Representative of LGBT members,Representative of LGBT members,Representative of LGBT members,04/03/2013,1,10823,1734,5411.5,ERS97,True,pdf,data/raw/2013/pdfs/Rep_LGBT_members_count.pdf
