year,name_canonical,position,sector,role_type,elected_year
2012,Pauline Collins,"Representatives of Women Members, HE",HE,women,2012
2012,Suzanne Trill,"Representatives of Women Members, HE",HE,women,2012
2013,Cecile Wright,Representatives of Black Members,HE,equality,2013
2013,Dawn Livingston,Representatives of Black Members,FE,equality,2013
2013,Roger Walters,"Representatives of Disabled Members, HE",HE,equality,2013
2013,Mary Jennings,"Representatives of LGBT+ Members, HE",HE,equality,2013
2013,Angela Roger,Honorary Treasurer,national,officer,2013
2013,Annie Holder,"NEC Members, London and the East, FE",FE,regional,2012
2013,Sean Vernell,"NEC Members, London and the East, FE",FE,regional,2012
2013,Mark Campbell,"NEC Members, London and the East, HE",HE,regional,2012
2013,Steve Sangwine,"NEC Members, London and the East, HE",HE,regional,2012
2013,Brian O'Sullivan,"NEC Members, Midlands, FE",FE,regional,2013
2013,Jacqueline D'Arcy,"NEC Members, Midlands, FE",FE,regional,2013
2013,Alan J Ryan,"NEC Members, Midlands, HE",HE,regional,2013
2013,Patricia Hulme,"NEC Members, Midlands, HE",HE,regional,2013
2013,Cath Hepburn,"NEC Members, North East, FE",FE,regional,2012
2013,Rob Goodfellow,"NEC Members, North East, FE",FE,regional,2012
2013,Joanna de Groot,"NEC Members, North East, HE",HE,regional,2012
2013,Martin Levy,"NEC Members, North East, HE",HE,regional,2012
2013,Andy Sellers,"NEC Members, North West, FE",FE,regional,2013
2013,Isabel Brotherston,"NEC Members, North West, FE",FE,regional,2013
2013,Jo McNeill,"NEC Members, North West, HE",HE,regional,2013
2013,Roger M. Walden,"NEC Members, North West, HE",HE,regional,2013
2013,Renee Prendergast,"NEC Members, Northern Ireland, HE",HE,regional,2012
2013,Lesley Kane,"NEC Members, South, HE",HE,regional,2013
2013,Patricia McManus,"NEC Members, South, HE",HE,regional,2013
2013,Terry Hoad,"NEC Members, South, HE",HE,regional,2013
2013,Angi Lamb,UCU Scotland Honorary Secretary,HE,regional,2013
2013,Christopher Whyley,"Vice-President, UCU Wales",FE,regional,2012
2013,Carolyn Campbell,"UK NEC Members, FE",FE,uk_nec,2013
2013,David Armstrong,"UK NEC Members, FE",FE,uk_nec,2013
2013,John Holden,"UK NEC Members, FE",FE,uk_nec,2012
2013,Loraine Monk,"UK NEC Members, FE",FE,uk_nec,2013
2013,Lyndsey Nicholson,"UK NEC Members, FE",FE,uk_nec,2013
2013,Mandy Brown,"UK NEC Members, FE",FE,uk_nec,2013
2013,Richard McEwan,"UK NEC Members, FE",FE,uk_nec,2012
2013,Angi Lamb,"UK NEC Members, HE",HE,uk_nec,2012
2013,David Goode,"UK NEC Members, HE",HE,uk_nec,2012
2013,Dominique Lauterburg,"UK NEC Members, HE",HE,uk_nec,2012
2013,Gordon Watson,"UK NEC Members, HE",HE,uk_nec,2013
2013,Harriet Bradley,"UK NEC Members, HE",HE,uk_nec,2012
2013,Jelena Timotijevic,"UK NEC Members, HE",HE,uk_nec,2012
2013,Jimmy Donaghey,"UK NEC Members, HE",HE,uk_nec,2013
2013,Joe Gluza,"UK NEC Members, HE",HE,uk_nec,2013
2013,Julia Charlton,"UK NEC Members, HE",HE,uk_nec,2013
2013,Lesley McGorrigan,"UK NEC Members, HE",HE,uk_nec,2012
2013,Marion Hersh,"UK NEC Members, HE",HE,uk_nec,2013
